date,window,score,regime
1976-03-04,full,56.17,cool
1976-03-04,rolling20y,47.16,cool
1976-03-05,full,56.17,cool
1976-03-05,rolling20y,47.16,cool
1976-03-08,full,56.17,cool
1976-03-08,rolling20y,47.16,cool
1976-03-09,full,56.17,cool
1976-03-09,rolling20y,47.16,cool
1976-03-10,full,56.17,cool
1976-03-10,rolling20y,47.16,cool
1976-03-11,full,56.17,cool
1976-03-11,rolling20y,47.16,cool
1976-03-12,full,56.17,cool
1976-03-12,rolling20y,47.16,cool
1976-03-15,full,56.17,cool
1976-03-15,rolling20y,47.16,cool
1976-03-16,full,56.17,cool
1976-03-16,rolling20y,47.16,cool
1976-03-17,full,56.17,cool
1976-03-17,rolling20y,47.16,cool
1976-03-18,full,56.17,cool
1976-03-18,rolling20y,47.16,cool
1976-03-19,full,56.17,cool
1976-03-19,rolling20y,47.16,cool
1976-03-22,full,56.17,cool
1976-03-22,rolling20y,47.16,cool
1976-03-23,full,56.17,cool
1976-03-23,rolling20y,47.16,cool
1976-03-24,full,56.17,cool
1976-03-24,rolling20y,47.16,cool
1976-03-25,full,56.17,cool
1976-03-25,rolling20y,47.16,cool
1976-03-26,full,56.17,cool
1976-03-26,rolling20y,47.16,cool
1976-03-29,full,56.17,cool
1976-03-29,rolling20y,47.16,cool
1976-03-30,full,56.17,cool
1976-03-30,rolling20y,47.16,cool
1976-03-31,full,56.17,cool
1976-03-31,rolling20y,47.16,cool
1976-04-01,full,56.93,cool
1976-04-01,rolling20y,48.1,cool
1976-04-02,full,56.93,cool
1976-04-02,rolling20y,48.1,cool
1976-04-05,full,56.93,cool
1976-04-05,rolling20y,48.1,cool
1976-04-06,full,56.93,cool
1976-04-06,rolling20y,48.1,cool
1976-04-07,full,56.93,cool
1976-04-07,rolling20y,48.1,cool
1976-04-08,full,56.93,cool
1976-04-08,rolling20y,48.1,cool
1976-04-09,full,56.93,cool
1976-04-09,rolling20y,48.1,cool
1976-04-12,full,56.93,cool
1976-04-12,rolling20y,48.1,cool
1976-04-13,full,56.93,cool
1976-04-13,rolling20y,48.1,cool
1976-04-14,full,56.93,cool
1976-04-14,rolling20y,48.1,cool
1976-04-15,full,56.93,cool
1976-04-15,rolling20y,48.1,cool
1976-04-16,full,56.93,cool
1976-04-16,rolling20y,48.1,cool
1976-04-19,full,56.93,cool
1976-04-19,rolling20y,48.1,cool
1976-04-20,full,56.93,cool
1976-04-20,rolling20y,48.1,cool
1976-04-21,full,56.93,cool
1976-04-21,rolling20y,48.1,cool
1976-04-22,full,56.93,cool
1976-04-22,rolling20y,48.1,cool
1976-04-23,full,56.93,cool
1976-04-23,rolling20y,48.1,cool
1976-04-26,full,56.93,cool
1976-04-26,rolling20y,48.1,cool
1976-04-27,full,56.93,cool
1976-04-27,rolling20y,48.1,cool
1976-04-28,full,56.93,cool
1976-04-28,rolling20y,48.1,cool
1976-04-29,full,56.93,cool
1976-04-29,rolling20y,48.1,cool
1976-04-30,full,56.93,cool
1976-04-30,rolling20y,48.1,cool
1976-05-03,full,55.55,cool
1976-05-03,rolling20y,46.91,cool
1976-05-04,full,55.55,cool
1976-05-04,rolling20y,46.91,cool
1976-05-05,full,55.55,cool
1976-05-05,rolling20y,46.91,cool
1976-05-06,full,55.55,cool
1976-05-06,rolling20y,46.91,cool
1976-05-07,full,55.55,cool
1976-05-07,rolling20y,46.91,cool
1976-05-10,full,55.55,cool
1976-05-10,rolling20y,46.91,cool
1976-05-11,full,55.55,cool
1976-05-11,rolling20y,46.91,cool
1976-05-12,full,55.55,cool
1976-05-12,rolling20y,46.91,cool
1976-05-13,full,55.55,cool
1976-05-13,rolling20y,46.91,cool
1976-05-14,full,55.55,cool
1976-05-14,rolling20y,46.91,cool
1976-05-17,full,55.55,cool
1976-05-17,rolling20y,46.91,cool
1976-05-18,full,55.55,cool
1976-05-18,rolling20y,46.91,cool
1976-05-19,full,55.55,cool
1976-05-19,rolling20y,46.91,cool
1976-05-20,full,55.55,cool
1976-05-20,rolling20y,46.91,cool
1976-05-21,full,55.55,cool
1976-05-21,rolling20y,46.91,cool
1976-05-24,full,55.55,cool
1976-05-24,rolling20y,46.91,cool
1976-05-25,full,55.55,cool
1976-05-25,rolling20y,46.91,cool
1976-05-26,full,55.55,cool
1976-05-26,rolling20y,46.91,cool
1976-05-27,full,55.55,cool
1976-05-27,rolling20y,46.91,cool
1976-05-28,full,55.55,cool
1976-05-28,rolling20y,46.91,cool
1976-05-31,full,55.55,cool
1976-05-31,rolling20y,46.91,cool
1976-06-01,full,54.4,cool
1976-06-01,rolling20y,45.76,cool
1976-06-02,full,54.4,cool
1976-06-02,rolling20y,45.76,cool
1976-06-03,full,54.4,cool
1976-06-03,rolling20y,45.76,cool
1976-06-04,full,54.4,cool
1976-06-04,rolling20y,45.76,cool
1976-06-07,full,54.4,cool
1976-06-07,rolling20y,45.76,cool
1976-06-08,full,54.4,cool
1976-06-08,rolling20y,45.76,cool
1976-06-09,full,54.4,cool
1976-06-09,rolling20y,45.76,cool
1976-06-10,full,54.4,cool
1976-06-10,rolling20y,45.76,cool
1976-06-11,full,54.4,cool
1976-06-11,rolling20y,45.76,cool
1976-06-14,full,54.4,cool
1976-06-14,rolling20y,45.76,cool
1976-06-15,full,54.4,cool
1976-06-15,rolling20y,45.76,cool
1976-06-16,full,54.4,cool
1976-06-16,rolling20y,45.76,cool
1976-06-17,full,54.4,cool
1976-06-17,rolling20y,45.76,cool
1976-06-18,full,54.4,cool
1976-06-18,rolling20y,45.76,cool
1976-06-21,full,54.4,cool
1976-06-21,rolling20y,45.76,cool
1976-06-22,full,54.4,cool
1976-06-22,rolling20y,45.76,cool
1976-06-23,full,54.4,cool
1976-06-23,rolling20y,45.76,cool
1976-06-24,full,54.4,cool
1976-06-24,rolling20y,45.76,cool
